episode,reward,average_reward,epsilon,steps,loss
102,130.0,155.9,0.9502665505164744,53779,0.6480
103,135.0,156.65,0.9497914172412162,54164,1.3815
104,105.0,155.0,0.9493165215325956,54716,0.3570
105,120.0,154.35,0.9488418632718294,55280,0.0919
106,185.0,153.15,0.9483674423401935,55862,0.3129
107,215.0,155.15,0.9478932586190235,56363,0.1454
108,55.0,155.25,0.9474193119897141,56655,2.1997
109,245.0,157.4,0.9469456023337193,57326,0.4463
110,105.0,156.65,0.9464721295325524,57736,0.1432
111,35.0,155.3,0.9459988934677862,58198,1.1688
112,210.0,156.75,0.9455258940210524,58838,0.1273
113,215.0,154.3,0.9450531310740419,59481,0.0718
114,255.0,154.7,0.9445806045085049,60179,0.2090
115,60.0,154.75,0.9441083142062507,60477,1.7276
116,210.0,154.75,0.9436362600491477,61016,1.0106
117,260.0,156.8,0.9431644419191232,61790,0.2061
118,410.0,159.6,0.9426928596981636,62347,0.4914
119,500.0,162.95,0.9422215132683146,63148,2.5236
120,110.0,161.95,0.9417504025116805,63560,0.0969
121,210.0,163.0,0.9412795273104247,64170,1.4720
122,105.0,162.45,0.9408088875467696,64564,0.4292
123,105.0,160.95,0.9403384831029963,64985,0.5538
124,100.0,160.6,0.9398683138614449,65439,0.1311
125,120.0,160.7,0.9393983797045142,65950,0.2973
126,90.0,160.6,0.938928680514662,66354,0.2920
127,330.0,162.75,0.9384592161744048,66984,0.9239
128,105.0,159.6,0.9379899865663176,67350,0.8565
129,15.0,155.2,0.9375209915730345,67611,0.2913
130,70.0,153.8,0.937052231077248,68085,1.0406
131,80.0,153.85,0.9365837049617094,68682,1.0222
132,205.0,155.1,0.9361154131092286,69216,0.3235
133,80.0,155.2,0.9356473554026741,69747,0.2137
134,170.0,155.05,0.9351795317249728,70539,0.1793
135,135.0,152.0,0.9347119419591103,71062,0.2944
136,140.0,151.85,0.9342445859881309,71584,0.3236
137,270.0,152.8,0.9337774636951368,72471,1.3141
138,60.0,149.95,0.9333105749632893,72906,0.3713
139,80.0,149.7,0.9328439196758077,73250,0.2328
140,75.0,149.1,0.9323774977159699,73747,0.7609
141,410.0,152.0,0.9319113089671119,74457,0.2505
142,210.0,151.65,0.9314453533126285,75090,0.1572
143,185.0,152.65,0.9309796306359722,76068,0.3943
144,110.0,152.7,0.9305141408206543,76670,0.4180
145,125.0,153.1,0.9300488837502441,77043,0.3556
146,50.0,152.4,0.9295838593083691,77428,0.8936
147,130.0,152.6,0.929119067378715,77814,1.2315
148,30.0,149.8,0.9286545078450257,78074,0.4291
149,120.0,150.35,0.9281901805911033,78564,0.6770
150,105.0,150.5,0.9277260855008077,78854,0.5783
151,155.0,150.2,0.9272622224580573,79350,0.3743
152,155.0,149.5,0.9267985913468284,79964,0.8735
153,110.0,149.5,0.926335192051155,80506,0.2138
154,135.0,149.35,0.9258720244551295,80896,0.4019
155,50.0,148.6,0.925409088442902,81183,0.1078
156,160.0,148.1,0.9249463838986807,81694,1.1061
157,135.0,147.6,0.9244839107067314,82188,0.1420
158,225.0,147.6,0.9240216687513781,82954,1.1520
159,110.0,147.65,0.9235596579170025,83318,1.0809
160,235.0,148.75,0.923097878088044,83946,0.6421
161,210.0,149.65,0.9226363291490001,84568,1.6526
162,60.0,149.95,0.9221750109844257,84874,0.1788
163,245.0,150.9,0.9217139234789336,85947,0.3282
164,85.0,151.15,0.9212530665171942,86319,0.1986
165,255.0,152.35,0.9207924399839357,86974,0.2746
166,120.0,153.0,0.9203320437639437,87472,0.4537
167,190.0,153.7,0.9198718777420618,87927,0.1929
168,70.0,152.8,0.9194119418031909,88430,0.6489
169,105.0,151.7,0.9189522358322894,88878,1.1112
170,170.0,151.8,0.9184927597143733,89494,1.5267
171,105.0,151.05,0.9180335133345161,89924,0.2346
172,120.0,151.6,0.917574496577849,90438,0.1731
173,180.0,151.6,0.9171157093295601,91048,1.5843
