episode,score,clipped_reward,average_score,epsilon,steps,loss
261,220.0,14.0,159.3,0.9754,138390,0.004512
262,350.0,10.0,161.2,0.9753,139071,0.004232
263,100.0,8.0,160.0,0.9752,139367,0.008886
264,180.0,11.0,160.7,0.9751,139842,0.013765
265,105.0,8.0,161.1,0.9750,140374,0.012959
266,440.0,16.0,164.3,0.9749,141225,0.003484
267,135.0,9.0,164.8,0.9748,141754,0.009510
268,105.0,8.0,163.8,0.9747,142205,0.003566
269,160.0,11.0,164.1,0.9746,142929,0.005279
270,80.0,6.0,164.1,0.9745,143240,0.008321
271,110.0,8.0,163.9,0.9744,143739,0.008680
272,110.0,7.0,163.8,0.9743,144042,0.003145
273,460.0,17.0,166.7,0.9742,145101,0.006228
274,50.0,6.0,166.7,0.9741,145449,0.008912
275,110.0,7.0,166.0,0.9740,146005,0.004787
276,70.0,5.0,164.8,0.9739,146293,0.007795
277,65.0,6.0,164.1,0.9739,146589,0.007278
278,120.0,8.0,163.9,0.9738,147116,0.005300
279,135.0,9.0,161.2,0.9737,147522,0.020454
280,80.0,6.0,159.8,0.9736,147821,0.007058
281,90.0,7.0,159.4,0.9735,148195,0.006278
282,120.0,10.0,159.1,0.9734,148678,0.010125
283,120.0,8.0,157.4,0.9733,149101,0.005404
284,315.0,20.0,155.4,0.9732,150026,0.013181
285,105.0,8.0,153.8,0.9731,150365,0.008981
286,160.0,10.0,153.2,0.9730,150856,0.012026
287,105.0,8.0,153.1,0.9729,151270,0.009143
288,20.0,3.0,152.7,0.9728,151629,0.008103
289,60.0,4.0,152.9,0.9727,152039,0.003526
290,110.0,7.0,153.4,0.9726,152528,0.010900
291,80.0,7.0,150.3,0.9725,152917,0.007476
292,340.0,10.0,152.2,0.9724,153425,0.007277
293,135.0,9.0,151.5,0.9723,153846,0.011561
294,155.0,10.0,151.1,0.9722,154218,0.009542
295,145.0,11.0,150.6,0.9721,154890,0.004926
296,60.0,6.0,149.8,0.9721,155253,0.010864
297,355.0,11.0,152.2,0.9720,155790,0.003572
298,335.0,21.0,154.2,0.9719,156674,0.003504
299,80.0,6.0,153.8,0.9718,157079,0.002345
300,40.0,4.0,151.6,0.9717,157537,0.007456
301,65.0,4.0,151.0,0.9716,157793,0.008839
302,225.0,14.0,151.4,0.9715,158601,0.009616
303,30.0,3.0,150.2,0.9714,158969,0.005461
304,60.0,5.0,149.8,0.9713,159267,0.008477
305,155.0,10.0,148.8,0.9712,159802,0.003103
306,45.0,5.0,148.4,0.9711,160237,0.005334
307,135.0,9.0,146.5,0.9710,160623,0.030612
308,20.0,3.0,143.8,0.9709,161040,0.013342
309,60.0,4.0,144.3,0.9708,161514,0.008169
310,105.0,6.0,143.9,0.9707,161909,0.004627
311,90.0,7.0,144.2,0.9706,162374,0.006287
312,20.0,3.0,144.2,0.9705,162716,0.006165
313,145.0,9.0,144.6,0.9704,163250,0.006431
314,80.0,7.0,143.4,0.9703,163636,0.009899
315,65.0,6.0,143.8,0.9703,164070,0.012656
316,100.0,8.0,143.0,0.9702,164572,0.021358
317,225.0,14.0,144.1,0.9701,165241,0.024832
318,160.0,11.0,144.6,0.9700,165615,0.010339
319,50.0,4.0,144.2,0.9699,166004,0.006210
320,120.0,7.0,143.2,0.9698,166367,0.003415
321,365.0,22.0,146.4,0.9697,167200,0.004481
